"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.205031167E0,5.089416504E-2,1.502874756E-1,9.808203735E0
1.215072167E0,5.074447632E-2,1.487905884E-1,9.800569611E0
1.225113167E0,6.032455444E-2,1.486408997E-1,9.809550934E0
1.235154167E0,5.104385376E-2,1.513352966E-1,9.791737976E0
1.245195167E0,5.403762817E-2,1.417552185E-1,9.784552917E0
1.255236500E0,4.326004028E-2,1.487905884E-1,9.810748444E0
1.265277500E0,6.002517700E-2,1.447489929E-1,9.809401245E0
1.275318500E0,5.044509888E-2,1.505868530E-1,9.802216187E0
1.285359500E0,4.430786133E-2,1.523831177E-1,9.787846069E0
1.295400500E0,4.430786133E-2,1.492396545E-1,9.796677704E0
1.305441500E0,4.939727783E-2,1.543290710E-1,9.801318054E0
1.315482500E0,5.523513794E-2,1.499880981E-1,9.805209961E0
1.325523500E0,5.059478760E-2,1.519340515E-1,9.808652802E0
1.335564500E0,5.089416504E-2,1.567240906E-1,9.805659027E0
1.345605500E0,4.879852295E-2,1.535806274E-1,9.796827393E0
1.355646500E0,4.760101318E-2,1.547781372E-1,9.801318054E0
1.365687500E0,4.909790039E-2,1.472937012E-1,9.802365875E0
1.375728500E0,5.733078003E-2,1.486408997E-1,9.801916809E0
1.385769500E0,5.298980713E-2,1.368154907E-1,9.801617432E0
1.395810500E0,6.047424316E-2,1.550775146E-1,9.802814941E0
1.405852500E0,5.089416504E-2,1.502874756E-1,9.803563385E0
1.415893500E0,6.032455444E-2,1.344204712E-1,9.811945953E0
1.425934500E0,4.131408691E-2,1.475930786E-1,9.799671478E0
1.435975500E0,6.032455444E-2,1.508862305E-1,9.802665253E0
1.446016500E0,5.763015747E-2,1.472937012E-1,9.806407471E0
1.456057500E0,5.523513794E-2,1.549278259E-1,9.794731750E0
1.466098500E0,5.703140259E-2,1.559756470E-1,9.811347198E0
1.476139500E0,5.164260864E-2,1.562750244E-1,9.802515564E0
1.486180500E0,6.316864014E-2,1.460961914E-1,9.801617432E0
1.496221500E0,5.373825073E-2,1.550775146E-1,9.795180817E0
1.506262500E0,4.745132446E-2,1.528321838E-1,9.813742218E0
1.516303500E0,4.685256958E-2,1.450483704E-1,9.816885681E0
1.526344500E0,5.328918457E-2,1.477427673E-1,9.815089417E0
1.536385500E0,4.879852295E-2,1.419049072E-1,9.796228638E0
1.546426500E0,5.643264771E-2,1.543290710E-1,9.790091400E0
1.556467500E0,5.224136353E-2,1.407073975E-1,9.804311829E0
1.566508500E0,5.029541016E-2,1.502874756E-1,9.801916809E0
1.576549500E0,4.834945679E-2,1.508862305E-1,9.816137238E0
1.586590500E0,4.775070190E-2,1.359173584E-1,9.809251556E0
1.596631500E0,5.224136353E-2,1.580712891E-1,9.816885681E0
1.606672500E0,4.775070190E-2,1.519340515E-1,9.802066498E0
1.616713500E0,5.149291992E-2,1.475930786E-1,9.815987549E0
1.626754500E0,5.508544922E-2,1.428030396E-1,9.803114319E0
1.636795500E0,5.119354248E-2,1.480421448E-1,9.803264008E0
1.646836500E0,5.673202515E-2,1.474433899E-1,9.804760895E0
1.656877500E0,5.493576050E-2,1.498384094E-1,9.804162140E0
1.666918500E0,5.239105225E-2,1.562750244E-1,9.811496887E0
1.676960500E0,5.179229736E-2,1.513352966E-1,9.815987549E0
1.687001500E0,4.819976807E-2,1.514849854E-1,9.805060272E0
1.697042500E0,4.505630493E-2,1.417552185E-1,9.812844086E0
1.707083500E0,4.445755005E-2,1.495390320E-1,9.816885681E0
1.717124500E0,4.236190796E-2,1.538800049E-1,9.791737976E0
1.727165500E0,5.807922363E-2,1.538800049E-1,9.803713074E0
1.737206500E0,5.748046875E-2,1.474433899E-1,9.804461517E0
1.747247500E0,5.972579956E-2,1.383123779E-1,9.806108093E0
1.757288500E0,4.445755005E-2,1.451980591E-1,9.803114319E0
1.767329500E0,5.733078003E-2,1.555265808E-1,9.813143463E0
1.777370500E0,6.406677246E-2,1.407073975E-1,9.800270233E0
1.787411500E0,6.062393188E-2,1.481918335E-1,9.801617432E0
1.797452500E0,5.643264771E-2,1.387614441E-1,9.805509338E0
1.807493500E0,4.834945679E-2,1.460961914E-1,9.808952179E0
1.817534500E0,5.269042969E-2,1.492396545E-1,9.820178833E0
1.827575500E0,5.433700562E-2,1.463955688E-1,9.805060272E0
1.837616500E0,4.939727783E-2,1.592687988E-1,9.793983307E0
1.847657500E0,5.254074097E-2,1.493893433E-1,9.804760895E0
1.857698500E0,5.284011841E-2,1.425036621E-1,9.803413696E0
1.867739500E0,5.942642212E-2,1.579216003E-1,9.800270233E0
1.877780500E0,6.077362061E-2,1.532812500E-1,9.800868988E0
1.887821500E0,5.777984619E-2,1.555265808E-1,9.798773346E0
1.897862500E0,6.077362061E-2,1.419049072E-1,9.806557159E0
1.907903500E0,5.433700562E-2,1.336720276E-1,9.817334747E0
