"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.481501900E1,1.221299767E0,4.059102833E-1,3.454803228E-1
2.491458650E1,-6.102094054E-1,-2.233904004E-1,-2.601836920E-1
2.501415250E1,1.863417402E-2,1.061699912E-1,3.815190494E-1
2.511371850E1,-1.697352976E-1,-1.088089347E-1,-4.044802785E-1
2.521328450E1,-6.348308176E-2,-8.373395354E-2,-2.829110324E-1
2.531285150E1,-5.262340233E-2,-1.891308427E-1,-3.671431541E-1
2.541241750E1,-4.029933736E-2,-1.707755923E-1,-7.004874200E-2
2.551198350E1,4.116950035E-1,-4.844657704E-2,-4.303305745E-1
2.561154950E1,8.910871744E-1,3.682205677E-1,-2.371350825E-1
2.571111550E1,-7.445679307E-1,-2.782008946E-1,4.331163764E-1
2.581068250E1,-7.753429562E-2,-2.010128647E-2,2.767540887E-2
2.591024850E1,-7.252488285E-2,1.797690988E-1,4.747569859E-1
2.600981458E1,-1.532642394E-1,7.265398651E-2,2.438066155E-1
2.610938058E1,3.201029822E-2,5.999337137E-2,4.199775159E-1
2.620894658E1,-6.173056364E-2,-2.241369784E-1,5.812013149E-2
2.630851258E1,4.006999731E-1,1.154211462E-1,-1.570889354E-1
2.640807958E1,6.400297284E-1,2.346570492E-1,4.242829233E-2
2.650764558E1,-7.570347786E-1,-1.477937698E-1,2.543455958E-1
2.660721158E1,-5.380932987E-2,-3.463201597E-2,2.434532940E-1
2.670677758E1,-2.415418774E-1,-2.661916241E-2,-3.219386637E-1
2.680634358E1,-1.004227251E-1,-2.676703930E-1,-3.755197525E-1
2.690590958E1,-8.383333683E-2,-1.167320237E-1,-3.337956667E-1
2.700547558E1,-3.736801073E-2,-7.467827201E-2,-4.407553375E-1
2.710504158E1,1.285739660E0,4.205802083E-1,-2.591586113E-1
2.720460846E1,-8.780962229E-1,2.773258090E-1,-1.595635340E-2
2.730417446E1,-2.182605565E-1,-2.771048844E-1,1.098582596E-1
2.740374046E1,-6.544673815E-3,1.505167186E-1,1.234254800E-2
2.750330646E1,-1.126095727E-1,-5.889956281E-2,1.419877559E-1
2.760287246E1,-1.516277492E-1,-1.340884250E-2,4.004655778E-2
2.770243846E1,-9.904722124E-2,-8.729000390E-2,1.436990798E-1
2.780200446E1,3.697783947E-1,-1.035350338E-1,-7.202448696E-2
2.790157046E1,1.418436766E0,2.696819603E-1,1.190408021E-1
2.800113646E1,-1.303862453E0,-5.674853921E-1,-4.108996391E-1
2.810070246E1,1.123149917E-1,3.942377865E-1,3.148441911E-1
2.820026846E1,-4.019013047E-1,8.678801358E-3,-4.972571433E-1
2.829983408E1,-1.781284064E-1,-9.856802225E-2,-2.634880543E-1
2.839940008E1,-1.132644340E-1,7.635550108E-3,-3.762141466E-1
2.849896608E1,-8.313898742E-2,-7.302296162E-2,-4.763095826E-2
2.859853208E1,4.474594891E-1,9.312119335E-2,-3.666464984E-1
2.869809808E1,6.815133095E-1,-2.641723752E-1,-3.099267483E-1
2.879766408E1,-7.968866229E-1,-1.812696308E-1,2.335329801E-1
2.889723008E1,-2.329589427E-1,-3.446753696E-2,-3.002904542E-2
2.899679608E1,-3.709710762E-2,1.801093221E-1,3.286690414E-1
2.909636208E1,-2.175863534E-1,-5.012359004E-3,4.930687696E-2
2.919592808E1,8.965659887E-2,-9.206656367E-2,4.770510793E-1
2.929549408E1,6.466383934E-1,5.938260630E-2,1.256389320E-1
2.939506008E1,8.172396421E-1,1.128084399E-2,1.404779553E-1
2.949462696E1,-7.201676965E-1,-7.586647570E-2,2.531058490E-1
2.959419296E1,-2.829816937E-1,-1.592757553E-1,8.252121508E-2
2.969375896E1,-2.481752038E-1,7.361212373E-2,-2.398537248E-1
2.979332496E1,-1.795451939E-1,-1.131505817E-1,-2.599188387E-1
2.989289096E1,-1.038740277E-1,-1.171943359E-2,-2.319568098E-1
2.999245696E1,2.987889946E-1,-8.996520191E-2,-2.849108540E-2
3.009202296E1,7.907298207E-1,2.059264034E-1,-4.288001359E-1
3.019158896E1,-6.945492625E-1,1.491422951E-1,-1.946332604E-1
3.029115396E1,-8.644810319E-2,-2.124308795E-1,1.971937865E-1
3.039071996E1,-1.401864551E-2,2.053712495E-2,2.144478709E-1
3.049028596E1,-8.765751868E-2,1.107678656E-2,5.177947283E-1
3.058985087E1,-1.248053908E-1,-1.057976633E-1,2.638908923E-1
3.068941687E1,5.257656798E-2,-1.632884592E-1,4.747087061E-1
3.078898287E1,5.620992780E-1,7.179678977E-2,2.198534831E-2
3.088854887E1,9.584149122E-1,7.095327228E-2,1.552310027E-2
3.098811488E1,-1.105835676E0,-3.359552920E-1,7.006461173E-2
3.108768087E1,-1.866320372E-1,-1.726308721E-3,2.572531104E-1
3.118724587E1,-2.035674006E-1,8.889853209E-2,-1.259866506E-1
3.128681187E1,-4.819254950E-2,-1.683251709E-1,-1.553891301E-1
3.138637787E1,-5.486542825E-3,-7.985426486E-2,-2.376391441E-1
3.148594388E1,9.992322326E-2,-1.202222556E-1,-1.605554074E-1
3.158550987E1,1.226814628E0,4.886653423E-1,-2.042356133E-1
3.168507508E1,-7.914412618E-1,1.985432357E-1,5.451339111E-2
3.178464108E1,-1.212880090E-1,-1.905018091E-1,2.460090220E-1
3.188420708E1,7.619481534E-2,-3.392132348E-4,3.594971597E-1
3.198377308E1,9.671386331E-3,4.864102602E-2,7.106945515E-1
3.208333908E1,-4.795528948E-2,-5.767947435E-2,5.556783676E-1
3.218290408E1,2.310425416E-2,6.785146147E-2,6.188004613E-1
3.228247008E1,3.977977037E-1,-3.125701845E-2,3.048332632E-1
3.238203608E1,8.626177907E-1,3.605174124E-1,3.429521918E-1
3.248160208E1,-8.988906741E-1,-2.711341381E-1,1.532260776E-1
3.258116708E1,-9.157437086E-2,1.722510010E-1,1.766331196E-1
3.268073308E1,-3.973861635E-1,-4.561475664E-2,-2.302875668E-1
3.278029908E1,-2.853806317E-2,-1.216881573E-1,-1.980016828E-1
3.287986487E1,3.984990995E-3,-1.414757222E-1,-3.108834922E-1
