"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.707622972E2,4.331207275E-1,4.148429489E1,-2.750503540E0
6.707723402E2,4.985351562E-1,4.159204483E1,-2.848175049E0
6.707823832E2,5.097961426E-1,4.147524643E1,-2.616699219E0
6.707924262E2,4.365386963E-1,4.150172043E1,-2.637054443E0
6.708024692E2,4.942626953E-1,4.145715714E1,-2.546585083E0
6.708125122E2,5.097351074E-1,4.143552017E1,-2.867431641E0
6.708225552E2,5.295562744E-1,4.143070602E1,-2.646011353E0
6.708325982E2,5.235137939E-1,4.145535660E1,-2.513214111E0
6.708426412E2,2.914428711E-1,4.146420670E1,-2.446685791E0
6.708526842E2,4.505310059E-1,4.146412277E1,-2.647338867E0
6.708627272E2,4.409790039E-1,4.130847549E1,-2.507171631E0
6.708727702E2,4.237213135E-1,4.147275162E1,-2.811569214E0
6.708828132E2,4.357452393E-1,4.143081284E1,-2.746902466E0
6.708928562E2,3.479309082E-1,4.137252426E1,-2.661437988E0
6.709028992E2,3.353271484E-1,4.137614059E1,-2.786300659E0
6.709129422E2,3.143615723E-1,4.145338821E1,-2.794570923E0
6.709229852E2,3.514251709E-1,4.139807510E1,-2.877838135E0
6.709330282E2,4.453735352E-1,4.144060135E1,-2.957107544E0
6.709430712E2,3.228912354E-1,4.132016373E1,-2.856689453E0
6.709531142E2,2.435607910E-1,4.139912796E1,-2.863372803E0
6.709631572E2,3.614807129E-1,4.150657272E1,-2.633651733E0
6.709732002E2,2.992858887E-1,4.152842331E1,-2.822189331E0
6.709832432E2,3.596649170E-1,4.143478012E1,-2.894226074E0
6.709932862E2,2.135009766E-1,4.131583023E1,-2.884643555E0
6.710033292E2,3.215026855E-1,4.141939926E1,-2.816055298E0
6.710133722E2,4.051666260E-1,4.138546371E1,-2.654586792E0
6.710234152E2,3.037414551E-1,4.148688889E1,-2.951583862E0
6.710334582E2,3.776702881E-1,4.140229416E1,-2.816421509E0
6.710435012E2,3.462066650E-1,4.148614883E1,-2.940719604E0
6.710535442E2,3.734893799E-1,4.143931961E1,-2.667251587E0
6.710635872E2,5.584106445E-1,4.157268906E1,-2.679351807E0
6.710736302E2,4.040222168E-1,4.140089798E1,-2.542602539E0
6.710836732E2,4.976043701E-1,4.134550858E1,-2.547378540E0
6.710937162E2,4.088287354E-1,4.142519760E1,-2.712356567E0
6.711037592E2,5.693054199E-1,4.136321640E1,-2.636428833E0
6.711138022E2,4.396362305E-1,4.141090012E1,-2.872634888E0
6.711238452E2,4.334869385E-1,4.142155838E1,-2.554046631E0
6.711338882E2,2.753143311E-1,4.136991501E1,-2.678482056E0
6.711439312E2,2.845916748E-1,4.135066605E1,-2.693176270E0
6.711539742E2,3.284759521E-1,4.134585953E1,-2.670211792E0
6.711640172E2,3.271484375E-1,4.139757156E1,-2.776519775E0
6.711740602E2,5.015869141E-1,4.146046829E1,-2.875259399E0
6.711841032E2,4.081268311E-1,4.136509323E1,-2.977813721E0
6.711941462E2,3.855438232E-1,4.137533951E1,-2.894866943E0
6.712041902E2,2.995452881E-1,4.138744736E1,-2.909576416E0
