"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.495704231E2,1.471744537E2,-3.966482544E1,-4.609426880E1
1.496699881E2,1.479037170E2,-3.942440796E1,-4.563888550E1
1.497695541E2,1.482629395E2,-3.909741211E1,-4.592251587E1
1.498691201E2,1.487324219E2,-4.007238770E1,-4.636236572E1
1.499686861E2,1.495916443E2,-4.119714355E1,-4.686621094E1
1.500682511E2,1.483805847E2,-3.934454346E1,-4.632003784E1
1.501678171E2,1.490193481E2,-3.960494995E1,-4.619958496E1
1.502673831E2,1.486174316E2,-3.878300476E1,-4.606759644E1
1.503669481E2,1.484861908E2,-3.845520020E1,-4.594122314E1
1.504665141E2,1.483601379E2,-3.884626770E1,-4.501037598E1
1.505660801E2,1.477660828E2,-3.822808838E1,-4.563745117E1
1.506656452E2,1.470242920E2,-3.986639404E1,-4.519006348E1
1.507652112E2,1.464219513E2,-4.203756714E1,-4.570339966E1
1.508647772E2,1.473727417E2,-4.493724060E1,-4.597195435E1
1.509643432E2,1.470338135E2,-4.309179688E1,-4.584088135E1
1.510639082E2,1.460628204E2,-4.209967041E1,-4.533029175E1
1.511634742E2,1.459660797E2,-4.129142761E1,-4.583694458E1
1.512630402E2,1.456751556E2,-3.945608521E1,-4.490600586E1
1.513626052E2,1.460278473E2,-3.889369202E1,-4.596490479E1
1.514621712E2,1.459949188E2,-3.817761230E1,-4.579983521E1
1.515617362E2,1.453903503E2,-3.834057617E1,-4.556317139E1
1.516613022E2,1.458904724E2,-3.989782715E1,-4.593884277E1
1.517608682E2,1.453561859E2,-4.107479858E1,-4.610470581E1
1.518604337E2,1.437646332E2,-3.889625549E1,-4.541195679E1
1.519599997E2,1.443222504E2,-3.931973267E1,-4.536776733E1
1.520595657E2,1.437365570E2,-3.896842957E1,-4.507528687E1
1.521591307E2,1.433421631E2,-3.915623474E1,-4.529928589E1
1.522586967E2,1.423801727E2,-3.975593567E1,-4.482876587E1
1.523582617E2,1.415508881E2,-3.968965149E1,-4.370111084E1
1.524578277E2,1.409218445E2,-4.167173767E1,-4.410067749E1
1.525573937E2,1.417501831E2,-4.410998535E1,-4.494863892E1
1.526569587E2,1.414475250E2,-4.220405579E1,-4.457467651E1
1.527565247E2,1.407033081E2,-4.193460083E1,-4.424212646E1
1.528560897E2,1.404839478E2,-4.107910156E1,-4.351269531E1
1.529556555E2,1.405202026E2,-3.923075867E1,-4.402084351E1
1.530552205E2,1.404412537E2,-3.807186890E1,-4.411981201E1
1.531547865E2,1.408875732E2,-3.709217834E1,-4.380514526E1
1.532543525E2,1.406028442E2,-3.766244507E1,-4.331655884E1
1.533539175E2,1.427224884E2,-4.069461060E1,-4.497366333E1
1.534534835E2,1.417816467E2,-3.967224121E1,-4.463000488E1
1.535530485E2,1.418032379E2,-3.807574463E1,-4.425463867E1
1.536526145E2,1.419472961E2,-3.879731750E1,-4.398733521E1
1.537521795E2,1.416244507E2,-3.860086060E1,-4.363153076E1
1.538517455E2,1.417458038E2,-3.955657959E1,-4.363061523E1
1.539513105E2,1.413539276E2,-3.945481873E1,-4.322070312E1
1.540508761E2,1.404852448E2,-4.075279236E1,-4.294625854E1
1.541504411E2,1.417104034E2,-4.401197815E1,-4.313973999E1
1.542500071E2,1.423809052E2,-4.409574890E1,-4.336972046E1
1.543495721E2,1.416004028E2,-4.173933411E1,-4.265664673E1
1.544491381E2,1.421229248E2,-4.143229675E1,-4.302331543E1
1.545487031E2,1.427966156E2,-3.965141296E1,-4.304547119E1
1.546482691E2,1.426957092E2,-3.863259888E1,-4.267855835E1
1.547478341E2,1.431432648E2,-3.876232910E1,-4.198229980E1
1.548474001E2,1.432221832E2,-3.998423767E1,-4.205267334E1
1.549469651E2,1.448708344E2,-4.303414917E1,-4.394049072E1
1.550465311E2,1.437455597E2,-4.033149719E1,-4.328833008E1
1.551460961E2,1.446331635E2,-3.989968872E1,-4.302044678E1
1.552456618E2,1.445111389E2,-3.989965820E1,-4.295379639E1
1.553452268E2,1.441921234E2,-3.968444824E1,-4.283209229E1
1.554447928E2,1.435095062E2,-3.996595764E1,-4.236975098E1
