"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.342109275E1,-1.032951283E0,-2.743433185E0,1.894880864E0
2.352065875E1,-5.706309450E-1,7.842490286E-1,-1.304174674E0
2.362022475E1,-9.124960095E-2,1.140563001E-1,1.012568182E-1
2.371979075E1,4.540757641E-2,1.372791603E0,-9.455123127E-2
2.381935700E1,-1.250117457E0,4.761957809E-1,4.930074030E-1
2.391892400E1,-1.113156371E-1,1.276836748E0,2.604987783E0
2.401849000E1,-7.320351470E-1,-1.664470162E0,4.196955979E-1
2.411805600E1,6.700925218E-1,-3.330576375E0,-2.990278364E0
2.421762200E1,7.854708043E-1,1.310750891E0,7.410006827E-1
2.431718800E1,-4.422205344E-1,-3.635496099E-1,3.116653651E-1
2.441675500E1,3.370104137E-1,7.241788280E-1,-1.372845544E0
2.451632100E1,3.505519804E-1,3.518931855E-1,3.288591027E-2
2.461588700E1,7.666034473E-1,9.367162731E-1,3.336187363E-2
2.471545300E1,8.229768920E-1,9.713374908E-1,2.714520750E0
2.481501900E1,-3.190395811E-1,-1.968146769E0,-1.209753835E-1
2.491458650E1,-5.559553108E-1,-2.248465357E0,-3.731702970E0
2.501415250E1,5.428240724E-1,-1.540454080E-1,1.549941334E0
2.511371850E1,2.205642834E-2,7.788806268E-1,-6.269191664E-1
2.521328450E1,-4.277027750E-1,7.070899017E-1,5.028663933E-2
2.531285150E1,-9.864106625E-1,5.788358311E-1,2.330442882E-1
2.541241750E1,-7.961010423E-1,8.790835574E-1,1.449090897E0
2.551198350E1,8.556685285E-1,-2.090922656E-1,3.222990530E0
2.561154950E1,-4.209720451E-1,-2.742493245E0,-3.779737846E0
2.571111550E1,5.628114635E-1,-9.533405650E-1,5.183556676E-1
2.581068250E1,-3.324780907E-1,1.320743636E0,1.950139976E-1
2.591024850E1,1.100264722E-1,-6.302325643E-1,-1.007141966E0
2.600981458E1,3.958506525E-1,1.607526760E0,-5.184147245E-1
2.610938058E1,8.034996705E-1,-4.736740961E-1,6.508225840E-1
2.620894658E1,1.378671855E0,2.654798166E0,9.071727043E-1
2.630851258E1,4.190089886E-1,-1.589349228E0,2.771631090E0
2.640807958E1,-1.106758055E0,-1.946671700E0,-4.347811804E0
2.650764558E1,-7.811437185E-1,-2.456518207E0,2.717910381E0
2.660721158E1,2.107221039E-1,1.368595495E0,-1.324432352E0
2.670677758E1,1.157586439E-1,4.361514900E-1,1.046271533E-1
2.680634358E1,-4.751980998E-1,7.648986916E-1,8.229137421E-2
2.690590958E1,-1.015164784E0,5.305678333E-1,4.276659375E-1
2.700547558E1,8.139812431E-1,1.000281208E0,3.370607582E0
2.710504158E1,-1.018546375E0,-2.249221694E0,-1.928060889E0
2.720460846E1,1.239949295E0,-2.889006928E0,-7.732048076E-1
2.730417446E1,3.301041211E-1,1.798389088E0,-3.938520741E-1
2.740374046E1,5.221519724E-2,-7.110996298E-1,-2.945230830E-1
2.750330646E1,6.921296543E-1,1.616027150E0,-8.536519700E-1
2.760287246E1,5.426520181E-1,-8.077124432E-2,1.982708967E-1
2.770243846E1,1.110745564E0,1.772858829E0,6.421505785E-1
2.780200446E1,1.080647606E0,-8.260601288E-1,2.906019986E0
2.790157046E1,-9.024529780E-1,-1.594926449E0,-3.054632235E0
2.800113646E1,-7.970047295E-1,-2.971424602E0,-3.627144814E-2
2.810070246E1,-4.581834331E-2,7.581508586E-1,-3.699697065E-1
2.820026846E1,4.074427575E-2,2.898228718E-1,-5.182159191E-1
2.829983408E1,-7.989196926E-2,1.042749316E0,-5.250565767E-1
2.839940008E1,-1.159355660E0,8.877659418E-1,7.326163602E-1
2.849896608E1,-3.979457098E-1,1.467877708E0,1.671748776E0
2.859853208E1,2.690501265E-1,-3.980774184E-1,1.878815639E0
2.869809808E1,1.472463387E-1,-3.091075298E0,-3.215536500E0
2.879766408E1,7.772557586E-1,-3.144025929E-1,-2.655612391E-1
2.889723008E1,-4.259622051E-1,1.458944917E0,4.026392698E-1
2.899679608E1,1.075275184E-1,-7.780736379E-2,-7.939138913E-1
2.909636208E1,2.588856192E-1,1.643996429E0,-3.462001902E-1
2.919592808E1,1.046576465E0,7.759226666E-1,2.288840527E0
2.929549408E1,2.402990748E-1,-1.021890909E0,2.577538614E0
2.939506008E1,-9.343701509E-1,-2.202300712E0,-3.786235857E0
2.949462696E1,-2.924867901E-1,-2.455752221E0,1.272742381E0
2.959419296E1,-2.116152661E-1,1.160221267E0,-1.321926236E0
2.969375896E1,-4.176503880E-1,2.801876105E-2,1.581958348E-1
2.979332496E1,-2.604387859E-1,1.097261738E0,-1.076144958E-1
2.989289096E1,-1.378207148E0,6.240285954E-1,2.310082877E-1
2.999245696E1,4.243447191E-1,1.478173193E0,2.835565715E0
3.009202296E1,-2.212919694E-1,-1.676764079E0,-3.886462981E-1
3.019158896E1,3.986295417E-1,-2.998137606E0,-1.884234838E0
3.029115396E1,7.527603105E-2,1.293367265E0,7.052145535E-1
3.039071996E1,-4.778432339E-1,-6.372092427E-1,-3.467281938E-1
3.049028596E1,4.162912028E-1,1.272918967E0,-8.602511376E-1
3.058985087E1,3.010620242E-1,2.973352282E-1,4.577603871E-1
3.068941687E1,1.312185944E0,1.694397381E0,1.203432410E0
3.078898287E1,7.695757332E-1,-5.740511276E-1,2.035480088E0
3.088854887E1,-8.893613546E-1,-1.946478011E0,-3.215496739E0
3.098811488E1,-9.957666461E-1,-2.434123955E0,1.175919507E0
3.108768087E1,-6.196956624E-1,1.036704757E0,-9.229467380E-1
3.118724587E1,-3.135060686E-1,3.500480966E-1,2.478500229E-1
3.128681187E1,-3.097144416E-1,1.036699714E0,-4.069644552E-1
3.138637787E1,-1.164785969E0,6.252348029E-1,7.357001817E-1
3.148594388E1,-2.552601993E-3,1.343450421E0,3.539133108E0
3.158550987E1,-6.989556938E-1,-2.277500145E0,-1.481933538E0
3.168507508E1,8.028851281E-1,-2.973981004E0,-1.763190458E0
3.178464108E1,8.072841346E-2,1.707254677E0,2.246494406E-1
3.188420708E1,-7.232831807E-1,-1.047243121E0,4.422085476E-1
3.198377308E1,-3.847380191E-2,1.033683647E0,-1.358401167E0
3.208333908E1,2.127328151E-1,1.009726435E-2,4.778713006E-1
3.218290408E1,8.341611537E-1,1.694566365E0,7.120628124E-1
3.228247008E1,7.419257122E-1,-6.437475993E-1,2.030708760E0
